parcel,pvalue,statistic,fdr
63,4.254135860379895e-6,41.569398640858694,2.1270679301899474e-4
64,7.265990070828823e-8,51.10608437942301,7.265990070828824e-6
65,1.5989966185608794e-4,32.717326352852915,0.0022043942739717473
66,7.726979454746384e-6,40.14072737887211,2.516364585220354e-4
67,0.006257923775374274,23.117803105517645,0.025031695101497095
68,2.8371695136238495e-5,36.992435466954234,5.674339027247699e-4
69,0.8775549350052659,4.539053546049973,0.9141197239638188
70,0.02722948811050714,18.90214411041325,0.07563746697363094
71,0.0010129592442948282,28.000743514473346,0.009208720402680257
72,0.36495372934411024,9.922114683750957,0.5289184483247975
73,1.6024311028561562e-4,32.71194618250154,0.0022043942739717473
74,0.5250586879440055,8.179841162044559,0.6482206024000067
75,0.017352370374496596,20.22916742205874,0.04957820106999027
76,0.013038483788597004,21.053285208806603,0.04178874187878156
77,0.0015848262957206293,26.82590457469345,0.011320187826575925
78,0.005812982265312676,23.32161069252859,0.02422075943880282
79,0.3305904174114505,10.351072382405963,0.49341853344992614
80,0.07153185099535143,15.907188267610454,0.1663531418496545
81,0.5502537415739464,7.928909826195488,0.6710411482609102
82,0.7821174600998593,5.642946428575001,0.8690194001109548
83,0.7646602540600373,5.824738436080237,0.8591688247865589
84,0.817356991334349,5.261691158040241,0.8930495012074672
85,0.32387613185805836,10.43829121083961,0.4913575219559157
86,0.9790601547070183,2.61304651333369,0.9790601547070183
87,0.27563529966624983,11.105170532326628,0.4430398731314147
88,0.8963688162737798,4.282753641366982,0.9240915631688451
89,0.00243606429453469,25.68327368835778,0.014342508956173878
90,0.8216055411108698,5.214114747681594,0.8930495012074672
91,0.20014654062706183,12.348946260045272,0.36123066193920145
92,0.08038441236491602,15.527297677422728,0.1816413340299452
93,0.4001787195234225,9.508059093134266,0.5481900267444143
94,0.9180675784355372,3.957188441529881,0.9355133642801172
95,0.5854582168380853,7.583575260497352,0.7053393606159157
96,0.3436259425580803,10.185067971713565,0.5053322684677652
97,0.3868323704534845,9.662242345190238,0.5481900267444143
98,0.8630318964667641,4.724828926339931,0.9084546278597517
99,0.002725076701673037,25.382795191136044,0.014342508956173878
100,0.2108043632695327,12.153347319946086,0.3634557987405736
